<<<<<<< Updated upstream
-268.147 -6 262.147
56.2166 5 51.2166
235.009 -6 241.009
-151.861 -2 149.861
-285.822 1 286.822
-25.5615 -6 19.5615
-62.1665 -3 59.1665
537.812 4 533.812
-105.408 -4 101.408
-521.711 2 523.711
-41.2953 3 44.2953
-339.367 -7 332.367
293.761 -1 294.761
373.451 -1 374.451
-161.838 4 165.838
-97.3624 -7 90.3624
-155.417 3 158.417
168.466 -5 173.466
-68.1438 -7 61.1438
-183.698 -2 181.698
33.5997 -5 38.5997
26.2805 -7 33.2805
36.6357 1 35.6357
-202.428 0 202.428
-22.4892 -5 17.4892
-496.836 -7 489.836
-65.0164 5 70.0164
-227.085 -6 221.085
-70.0367 4 74.0367
4.67419 -7 11.6742
-156.946 7 163.946
-164.753 5 169.753
-181.482 2 183.482
116.819 -5 121.819
178.601 -2 180.601
59.801 1 58.801
-162.47 1 163.47
85.0731 -4 89.0731
-61.3281 5 66.3281
-72.6036 4 76.6036
604.308 5 599.308
-91.9828 -7 84.9828
301.456 -4 305.456
270.279 4 266.279
-136.12 -4 132.12
187.953 4 183.953
310.631 7 303.631
-106.249 7 113.249
-164.844 7 171.844
473.535 4 469.535
149.34 6 143.34
-84.5337 -4 80.5337
386.693 3 383.693
-164.069 -3 161.069
-503.441 2 505.441
-253.108 -5 248.108
-498.643 0 498.643
190.687 3 187.687
147.885 -8 155.885
87.5512 6 81.5512
-53.3774 -8 45.3774
308.98 7 301.98
-91.3424 -2 89.3424
34.7561 5 29.7561

222.634 4 218.634
138.394 -6 144.394
37.242 -4 41.242
60.2479 3 57.2479
502.092 2 500.092
185.423 -1 186.423
-269.917 2 271.917
-68.8941 -1 67.8941
-469.985 0 469.985
230.266 0 230.266
-259.294 0 259.294
-146.497 -5 141.497
-703.19 -6 697.19
238.944 -5 243.944
234.478 1 233.478
74.3055 6 68.3055
159.783 7 152.783
-91.5236 -8 83.5236
-517.857 -8 509.857
228.259 -3 231.259
135.236 0 135.236
4.04097 -6 10.041
239.749 2 237.749
-136.555 0 136.555
-8.12795 -7 1.12795
300.167 0 300.167
48.4503 0 48.4503
163.452 -6 169.452
280.326 -6 286.326
-294.564 -4 290.564
-187.132 -3 184.132
469.49 -7 476.49
207.742 3 204.742
-277.91 -4 273.91
205.095 5 200.095
-336.055 6 342.055
-149.752 -6 143.752
-40.3443 -1 39.3443
-496.592 -4 492.592
-135.083 0 135.083
-472.763 0 472.763
-76.2792 -4 72.2792
451.759 5 446.759
20.5734 1 19.5734
445.285 -7 452.285
148.972 3 145.972
13.442 -7 20.442
418.191 -2 420.191
106.912 4 102.912
-161.643 1 162.643
-117.675 4 121.675
-9.66333 -3 6.66333
-566.538 -1 565.538
-26.8668 -6 20.8668
-148.357 3 151.357
-9.17881 7 16.1788
-93.8868 4 97.8868
100.521 -3 103.521
-106.859 6 112.859
143.024 -2 145.024
366.237 -4 370.237
151.606 2 149.606
-167.979 5 172.979
127.199 -3 130.199

35.0843 -2 37.0843
-260.192 7 267.192
-476.487 -7 469.487
253.734 -7 260.734
101.2 4 97.2004
-375.992 -1 374.992
131.159 -8 139.159
47.3102 -4 51.3102
207.296 -4 211.296
-117.778 3 120.778
-31.1785 -2 29.1785
87.5735 1 86.5735
299.652 -1 300.652
185.37 7 178.37
-507.657 3 510.657
251.224 3 248.224
-203.828 7 210.828
343.775 -4 347.775
149.906 2 147.906
-305.802 0 305.802
-26.6884 -1 25.6884
-16.9524 -4 12.9524
-105.207 -8 97.2074
527.649 -3 530.649
-152.176 -6 146.176
358.186 -8 366.186
668.552 5 663.552
205.538 -8 213.538
127.617 -2 129.617
174.333 6 168.333
151.387 4 147.387
262.344 -3 265.344
-246.51 -6 240.51
63.0082 -4 67.0082
454.397 3 451.397
2.50465 7 4.49535
12.3003 7 5.30029
-114.632 5 119.632
286.64 2 284.64
-37.3042 1 38.3042
409.71 5 404.71
342.062 0 342.062
27.5112 1 26.5112
-218.966 2 220.966
67.5285 -7 74.5285
-37.7967 2 39.7967
-295.34 -2 293.34
-283.027 -1 282.027
99.5059 -8 107.506
542.207 3 539.207
-16.5461 -8 8.5461
-306.46 0 306.46
385.489 0 385.489
0.853352 6 5.14665
-80.8244 -1 79.8244
-149.708 -8 141.708
-419.803 5 424.803
187.686 -1 188.686
105.482 -6 111.482
63.4559 7 56.4559
72.2474 7 65.2474
-174.239 -6 168.239
115.927 -1 116.927
-269.858 -4 265.858

-86.9801 -4 82.9801
-192.951 1 193.951
-2.88158 5 7.88158
-149.002 1 150.002
-39.1659 -6 33.1659
-174.755 7 181.755
239.093 5 234.093
440.637 4 436.637
280.392 3 277.392
98.1325 5 93.1325
258.712 5 253.712
261.064 6 255.064
570.187 6 564.187
-342.495 -6 336.495
-382.433 -6 376.433
403.455 -2 405.455
-174.317 -1 173.317
356.903 -1 357.903
325.863 -7 332.863
-245.325 6 251.325
66.9525 -3 69.9525
-190.968 7 197.968
-99.6837 2 101.684
-245.697 7 252.697
318.451 4 314.451
518.259 4 514.259
-332.354 2 334.354
144.617 6 138.617
104.646 6 98.6458
-38.5613 7 45.5613
-480.687 1 481.687
13.3629 0 13.3629
327.849 -6 333.849
103.161 -1 104.161
15.6009 -4 19.6009
37.1747 -5 42.1747
143.665 -7 150.665
167.063 5 162.063
220.142 -5 225.142
-92.1808 -6 86.1808
-64.3894 4 68.3894
334.586 -2 336.586
41.6247 -6 47.6247
-560.583 1 561.583
370.503 -5 375.503
-438.001 -6 432.001
-7.20913 1 8.20913
-140.454 2 142.454
91.2159 5 86.2159
-80.7621 -1 79.7621
90.4651 6 84.4651
406.431 -5 411.431
70.0334 -5 75.0334
404.604 -4 408.604
161.019 4 157.019
-3.2773 -4 0.722698
11.2089 -8 19.2089
15.5999 -8 23.5999
462.396 3 459.396
-145.19 6 151.19
408.857 -2 410.857
-288.188 7 295.188
54.0951 4 50.0951
-339.46 -4 335.46

-94.711 2 96.711
-0.337112 4 4.33711
-125.527 4 129.527
429.847 -7 436.847
-303.772 -3 300.772
-169.698 0 169.698
157.645 6 151.645
-355.1 -3 352.1
404.904 -6 410.904
114.024 1 113.024
-20.6902 -8 12.6902
-90.6467 -2 88.6467
-316.841 -7 309.841
247.379 -7 254.379
-198.389 -5 193.389
657.378 -4 661.378
-416.724 -6 410.724
187.314 -6 193.314
-352.383 -7 345.383
-138.076 3 141.076
-142.896 6 148.896
-440.369 2 442.369
-205.075 5 210.075
-292.188 -2 290.188
-300.357 0 300.357
-465.274 -6 459.274
46.6059 -7 53.6059
109.247 -1 110.247
375.213 1 374.213
126.588 3 123.588
-497.989 -8 489.989
145.453 0 145.453
-84.8074 1 85.8074
-314.165 -6 308.165
133.526 -4 137.526
-7.18034 -3 4.18034
114.436 4 110.436
-39.0656 3 42.0656
-154.626 7 161.626
-224.382 7 231.382
-13.2239 -3 10.2239
275.551 -7 282.551
-194.061 -2 192.061
92.6509 2 90.6509
50.8517 7 43.8517
-501.54 5 506.54
55.8251 -7 62.8251
-34.3948 6 40.3948
58.4803 -8 66.4803
6.53589 2 4.53589
-221.811 6 227.811
120.109 -1 121.109
-266.392 -3 263.392
-11.1781 7 18.1781
269.249 -3 272.249
-134.109 2 136.109
388.855 3 385.855
163.828 3 160.828
584.255 -5 589.255
-126.603 -6 120.603
514.987 1 513.987
-353.2 -4 349.2
-318.169 -1 317.169
-205.535 5 210.535

574 5 569
-602.498 -1 601.498
294.946 3 291.946
313.055 2 311.055
-34.6039 -7 27.6039
-346.011 -8 338.011
88.261 -4 92.261
-103.035 1 104.035
-181.948 7 188.948
-84.8872 2 86.8872
358.847 -3 361.847
265.554 -3 268.554
144.005 -2 146.005
444.408 -5 449.408
-413.383 0 413.383
-147.991 -1 146.991
278.664 -2 280.664
360.529 2 358.529
-94.1453 -8 86.1453
-516.601 -1 515.601
270.712 -8 278.712
154.715 -6 160.715
-231.396 -6 225.396
-164.495 4 168.495
272.089 5 267.089
-15.1592 1 16.1592
38.9419 3 35.9419
70.2015 0 70.2015
16.8673 7 9.86732
34.6023 -3 37.6023
173.281 -3 176.281
21.2706 -7 28.2706
-463.371 7 470.371
88.7407 2 86.7407
41.4447 -6 47.4447
-93.7064 1 94.7064
62.8295 -1 63.8295
95.0832 4 91.0832
-1.61475 -4 2.38525
31.3313 1 30.3313
148.156 -3 151.156
399.087 -5 404.087
-150.107 -8 142.107
545.756 4 541.756
-239.689 6 245.689
649.662 -5 654.662
-353.941 -2 351.941
-138.517 5 143.517
-114.909 3 117.909
-16.0096 5 21.0096
621.645 0 621.645
-128.652 4 132.652
349.044 3 346.044
328.533 6 322.533
-94.445 -2 92.445
-140.263 -7 133.263
403.401 -2 405.401
155.035 5 150.035
36.3505 -7 43.3505
133.729 1 132.729
83.7909 4 79.7909
193.019 -6 199.019
175.069 -5 180.069
62.9762 -2 64.9762

36.805 -7 43.805
146.023 5 141.023
-22.9655 2 24.9655
-101.584 -2 99.5839
217.986 2 215.986
-43.6144 4 47.6144
266.922 0 266.922
-73.8053 5 78.8053
-84.3398 3 87.3398
-230.957 -5 225.957
285.284 0 285.284
240.6 4 236.6
270.881 2 268.881
266.966 -2 268.966
217.744 -7 224.744
87.2328 -7 94.2328
-204.213 -7 197.213
305.089 1 304.089
-525.239 -3 522.239
-409.996 2 411.996
119.853 4 115.853
153.384 1 152.384
428.468 5 423.468
-129.343 -1 128.343
-151.512 -3 148.512
-87.9877 -7 80.9877
-6.18893 -4 2.18893
-103.968 -2 101.968
42.594 -2 44.594
-446.765 0 446.765
-440.398 1 441.398
241.027 5 236.027
101.648 -4 105.648
229.639 -4 233.639
-361.266 2 363.266
-171.271 -3 168.271
177.438 -7 184.438
-184.742 -7 177.742
-218.093 2 220.093
-430.48 -4 426.48
12.1425 -3 15.1425
308.884 6 302.884
431.324 7 424.324
359.893 6 353.893
155.106 -6 161.106
61.6607 -1 62.6607
-241.094 5 246.094
305.848 5 300.848
-137.683 0 137.683
127.071 0 127.071
-217.037 -1 216.037
121.062 6 115.062
-35.1767 2 37.1767
44.0701 -6 50.0701
183.144 -7 190.144
246.677 -2 248.677
-179.098 -2 177.098
-503.853 -4 499.853
-147.332 6 153.332
-468.848 6 474.848
-169.341 -8 161.341
-460.177 -2 458.177
-150.802 -4 146.802
159.786 4 155.786

173.46 -2 175.46
42.0758 -3 45.0758
873.456 1 872.456
317.33 -6 323.33
-25.6976 0 25.6976
-81.0071 5 86.0071
82.4279 -8 90.4279
-335.442 -1 334.442
294.481 1 293.481
253.715 -2 255.715
-346.724 -1 345.724
459.333 6 453.333
-506.485 6 512.485
494.624 -7 501.624
93.4355 -4 97.4355
265.446 -8 273.446
119.497 -3 122.497
82.9552 5 77.9552
-155.145 -1 154.145
-217.905 -3 214.905
-441.357 3 444.357
368.894 2 366.894
426.268 -5 431.268
-325.628 -6 319.628
-153.293 2 155.293
-259.183 -8 251.183
-0.185879 3 3.18588
-4.45603 -7 2.54397
30.6859 7 23.6859
180.924 -5 185.924
-125.674 -8 117.674
-611.952 -4 607.952
1.29842 5 3.70158
-752.27 -1 751.27
39.4355 -5 44.4355
-21.6488 -5 16.6488
-339.809 -1 338.809
-57.2592 1 58.2592
-427.441 5 432.441
-471.808 -6 465.808
283.763 -5 288.763
-373.907 -7 366.907
92.3609 0 92.3609
